subject_id,run_id,run_label,file_path,split,file_exists,file_size_bytes,readable,n_channels,n_eeg_channels,sfreq,duration_seconds,n_samples,has_annotation_channel,n_t0_events,n_t1_events,n_t2_events,n_total_events,duplicate_markers,events_outside_recording,has_nan,has_inf,n_flat_channels,n_outlier_channels,flat_channels,outlier_channels,is_binary_mi_run,expected_t1_label,expected_t2_label,usable_trial_count,status,warnings,classification_reason,error_message
S001,4,R04,data/raw/physionet/S001/S001R04.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,8,7,30,0,0,False,False,0,5,,Fp1.|Fp2.|Af7.|Af3.|Af8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"5 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fp2., Af7., Af3., Af8.","1 warning(s): 5 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fp2., Af7., Af3., Af8.",
S001,8,R08,data/raw/physionet/S001/S001R08.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,8,7,30,0,0,False,False,0,6,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S001,12,R12,data/raw/physionet/S001/S001R12.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,5,,Fp1.|Fpz.|Fp2.|Af7.|Af3.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"5 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3.","1 warning(s): 5 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3.",
S003,4,R04,data/raw/physionet/S003/S003R04.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,8,7,30,0,0,False,False,0,6,,Fp1.|Fpz.|Fp2.|Af7.|Af4.|Af8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af4. ...","1 warning(s): 6 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af4. ...",
S003,8,R08,data/raw/physionet/S003/S003R08.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,7,8,30,0,0,False,False,0,14,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F2..|F4..|F6..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"14 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 14 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
S003,12,R12,data/raw/physionet/S003/S003R12.edf,train,True,2596896,True,64,64,160.0,124.99375,20000,True,15,8,7,30,0,0,False,False,0,54,,Fc5.|Fc3.|Fc1.|Fcz.|Fc2.|Fc4.|Fc6.|C5..|C3..|C1..|Cz..|C6..|Cp5.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F6..|F8..|Ft7.|Ft8.|T7..|T8..|T9..|T10.|Tp7.|Tp8.|P7..|P5..|P3..|P1..|Pz..|P2..|P4..|P6..|P8..|Po7.|Po3.|Poz.|Po4.|Po8.|O1..|Oz..|O2..|Iz..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"54 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...","1 warning(s): 54 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc3., Fc1., Fcz., Fc2. ...",
S009,4,R04,data/raw/physionet/S009/S009R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,23,,Fc5.|Fc6.|C5..|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|Fz..|F2..|F4..|F6..|F8..|Ft7.|T7..|P4..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"23 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc6., C5.., Fp1., Fpz. ...","1 warning(s): 23 amplitude-outlier channel(s) (> 500.0 µV): Fc5., Fc6., C5.., Fp1., Fpz. ...",
S009,8,R08,data/raw/physionet/S009/S009R08.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,19,,Fc6.|C6..|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F1..|F4..|F6..|F8..|Ft7.|Ft8.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"19 amplitude-outlier channel(s) (> 500.0 µV): Fc6., C6.., Fp1., Fpz., Fp2. ...","1 warning(s): 19 amplitude-outlier channel(s) (> 500.0 µV): Fc6., C6.., Fp1., Fpz., Fp2. ...",
S009,12,R12,data/raw/physionet/S009/S009R12.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,15,,Fc4.|Fc6.|Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F7..|F5..|F3..|F6..|F8..,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"15 amplitude-outlier channel(s) (> 500.0 µV): Fc4., Fc6., Fp1., Fpz., Fp2. ...","1 warning(s): 15 amplitude-outlier channel(s) (> 500.0 µV): Fc4., Fc6., Fp1., Fpz., Fp2. ...",
S010,4,R04,data/raw/physionet/S010/S010R04.edf,train,True,2555616,True,64,64,160.0,122.99375,19680,True,15,8,7,30,0,0,False,False,0,12,,Fp1.|Fpz.|Fp2.|Af7.|Af3.|Afz.|Af4.|Af8.|F5..|F1..|P7..|Po3.,True,left_fist_imagery,right_fist_imagery,15,VALID_WITH_WARNINGS,"12 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...","1 warning(s): 12 amplitude-outlier channel(s) (> 500.0 µV): Fp1., Fpz., Fp2., Af7., Af3. ...",
