subject_id,split,n_binary_mi_runs,expected_trials_approx,actual_t1_events,actual_t2_events,actual_total_trials,usable_trials,run_statuses
S001,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S002,train,3,45,23,22,45,45,VALID|VALID|VALID
S003,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S004,train,3,45,23,22,45,45,VALID|VALID|VALID
S005,train,3,45,21,24,45,45,VALID|VALID|VALID
S006,train,3,45,24,21,45,45,VALID|VALID|VALID
S007,train,3,45,23,22,45,45,VALID|VALID|VALID
S008,train,3,45,22,23,45,45,VALID|VALID|VALID
S009,train,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S010,train,3,45,24,21,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S011,train,3,45,23,22,45,45,VALID|VALID|VALID
S012,train,3,45,21,24,45,45,VALID|VALID|VALID
S013,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S014,train,3,45,22,23,45,45,VALID|VALID|VALID
S015,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S016,train,3,45,22,23,45,45,VALID|VALID|VALID
S017,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S018,train,3,45,22,23,45,45,VALID|VALID|VALID
S019,train,3,45,23,22,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S020,train,3,45,23,22,45,45,VALID|VALID|VALID
S021,train,3,45,24,21,45,45,VALID|VALID|VALID
S022,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S023,train,3,45,22,23,45,45,VALID_WITH_WARNINGS|VALID_WITH_WARNINGS|VALID_WITH_WARNINGS
S024,train,3,45,22,23,45,45,VALID|VALID|VALID
S025,train,3,45,22,23,45,45,VALID|VALID|VALID
S026,train,3,45,24,21,45,45,VALID|VALID|VALID
